room_id,scene_category,condition,seed,clip_alignment,aesthetic_score,lpips_diversity
room_013,kitchen,baseline,42,0.2622033953666687,0.26515281200408936,0.6749670505523682
room_013,kitchen,baseline,1337,0.26360446214675903,0.2468557506799698,0.6749670505523682
room_013,kitchen,structured,42,0.2900226414203644,0.2684031128883362,0.6737540364265442
room_013,kitchen,structured,1337,0.2882317900657654,0.27173614501953125,0.6737540364265442
room_013,kitchen,controlnet,42,0.29618433117866516,0.26919057965278625,0.4927102327346802
room_013,kitchen,controlnet,1337,0.2923280596733093,0.27166396379470825,0.4927102327346802
room_014,kitchen,baseline,42,0.23865243792533875,0.26515281200408936,0.6749670505523682
room_014,kitchen,baseline,1337,0.2455817610025406,0.2468557506799698,0.6749670505523682
room_014,kitchen,structured,42,0.27474552392959595,0.2562759518623352,0.6973833441734314
room_014,kitchen,structured,1337,0.27442240715026855,0.2554072439670563,0.6973833441734314
room_014,kitchen,controlnet,42,0.2717757225036621,0.26540303230285645,0.49460864067077637
room_014,kitchen,controlnet,1337,0.2655375301837921,0.2577590346336365,0.49460864067077637
room_015,living room,baseline,42,0.26630493998527527,0.273338258266449,0.650668740272522
room_015,living room,baseline,1337,0.24591827392578125,0.2513723075389862,0.650668740272522
room_015,living room,structured,42,0.2664586901664734,0.2594450116157532,0.6461936235427856
room_015,living room,structured,1337,0.27802276611328125,0.26618900895118713,0.6461936235427856
room_015,living room,controlnet,42,0.29154813289642334,0.2593390941619873,0.49249395728111267
room_015,living room,controlnet,1337,0.27357226610183716,0.2566664218902588,0.49249395728111267
room_016,living room,baseline,42,0.2684592306613922,0.273338258266449,0.650668740272522
room_016,living room,baseline,1337,0.23963864147663116,0.2513723075389862,0.650668740272522
room_016,living room,structured,42,0.2937420606613159,0.26488807797431946,0.6744593977928162
room_016,living room,structured,1337,0.2694096267223358,0.2706177830696106,0.6744593977928162
room_016,living room,controlnet,42,0.27755606174468994,0.2741568088531494,0.5316625833511353
room_016,living room,controlnet,1337,0.2862008810043335,0.26931703090667725,0.5316625833511353
room_017,living room,baseline,42,0.26875370740890503,0.273338258266449,0.650668740272522
room_017,living room,baseline,1337,0.23386946320533752,0.2513723075389862,0.650668740272522
room_017,living room,structured,42,0.31064414978027344,0.26977771520614624,0.7224530577659607
room_017,living room,structured,1337,0.2960045337677002,0.26425811648368835,0.7224530577659607
room_017,living room,controlnet,42,0.31016138195991516,0.2703828811645508,0.5189021825790405
room_017,living room,controlnet,1337,0.31323373317718506,0.27260836958885193,0.5189021825790405
room_018,office,baseline,42,0.2714518904685974,0.25392720103263855,0.6972333192825317
room_018,office,baseline,1337,0.23720961809158325,0.22759254276752472,0.6972333192825317
room_018,office,structured,42,0.25667381286621094,0.27837324142456055,0.6869480609893799
room_018,office,structured,1337,0.27358290553092957,0.26581379771232605,0.6869480609893799
room_018,office,controlnet,42,0.2595030665397644,0.2606257200241089,0.5454351305961609
room_018,office,controlnet,1337,0.2620566487312317,0.2690871059894562,0.5454351305961609
room_019,office,baseline,42,0.256353497505188,0.25392720103263855,0.6972333192825317
room_019,office,baseline,1337,0.22500094771385193,0.22759254276752472,0.6972333192825317
room_019,office,structured,42,0.29038798809051514,0.2582230567932129,0.6160536408424377
room_019,office,structured,1337,0.30153149366378784,0.25561314821243286,0.6160536408424377
room_019,office,controlnet,42,0.2906148433685303,0.24002322554588318,0.4850250482559204
room_019,office,controlnet,1337,0.29377657175064087,0.2600005865097046,0.4850250482559204
room_020,office,baseline,42,0.2589847147464752,0.25392720103263855,0.6972333192825317
room_020,office,baseline,1337,0.2248164713382721,0.22759254276752472,0.6972333192825317
room_020,office,structured,42,0.2812337875366211,0.25172150135040283,0.6403162479400635
room_020,office,structured,1337,0.2729615569114685,0.25553521513938904,0.6403162479400635
room_020,office,controlnet,42,0.24782000482082367,0.2623206377029419,0.5252869129180908
room_020,office,controlnet,1337,0.24464911222457886,0.2685863673686981,0.5252869129180908
